Country,Revenue,Orders,Customers,AOV,RevenueShare
Australia,138521.31,57,9,2430.1984210526316,1.2986351047375646
Austria,10198.68,17,11,599.9223529411765,0.09561246475350908
Bahrain,754.14,3,2,251.38,0.0070700506505951095
Belgium,41196.34,98,25,420.3708163265306,0.3862150402035926
Brazil,1143.6,1,1,1143.6,0.010721232031215116
Canada,3666.38,6,4,611.0633333333334,0.0343722548921008
Channel Islands,20450.44,26,9,786.5553846153846,0.19172255367300003
Cyprus,13590.38,16,8,849.39875,0.12740959896151213
Czech Republic,826.74,2,1,413.37,0.0077506745098695215
Denmark,18955.34,18,9,1053.0744444444445,0.1777060146647194
EIRE,283453.96,288,3,984.215138888889,2.6573764212371183
European Community,1300.25,4,1,325.0625,0.012189823319856116
Finland,22546.08,41,12,549.9043902439025,0.21136914574531174
France,209715.11,392,87,534.987525510204,1.9660758611068567
Germany,228867.14,457,94,500.8033698030635,2.14562584143109
Greece,4760.52,5,4,952.104,0.044629800200454865
Hong Kong,15691.800000000001,11,0,1426.527272727273,0.14711037844300576
Iceland,4310.0,7,1,615.7142857142857,0.0404061822792385
Israel,8135.26,8,3,1016.9075,0.07626793467494149
Italy,17483.24,38,14,460.08526315789476,0.16390510029505193
Japan,37416.369999999995,19,8,1969.282631578947,0.35077788084627165
Lebanon,1693.88,1,1,1693.88,0.015880098384955108
Lithuania,1661.06,4,1,415.265,0.01557241140063849
Malta,2725.59,5,2,545.118,0.025552363424238903
Netherlands,285446.34,94,9,3036.663191489362,2.6760549524319
Norway,36165.44,36,10,1004.5955555555556,0.3390504317514764
Poland,7334.65,19,6,386.03421052631575,0.06876222850450502
Portugal,33747.1,58,19,581.846551724138,0.3163785322495799
RSA,1002.3100000000001,1,1,1002.3100000000001,0.00939664050123052
Saudi Arabia,145.92,1,1,145.92,0.0013679977072358427
Singapore,21279.29,7,1,3039.8985714285714,0.19949300939971626
Spain,61577.11,90,30,684.1901111111112,0.5772844387212807
Sweden,38378.33,36,8,1066.0647222222224,0.35979624073150057
Switzerland,57089.9,54,21,1057.2203703703703,0.5352169154764497
USA,3580.39,5,4,716.078,0.03356609999321641
United Arab Emirates,1902.28,3,2,634.0933333333334,0.017833845110475595
United Kingdom,9025222.084,18019,3920,500.8725281092181,84.61131522893568
Unspecified,4749.79,13,4,365.36846153846153,0.04452920661904971
