CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Total,Segment
12346.0,326,1,77183.6,1,1,5,7,Lost Customers
12347.0,2,7,4310.0,5,5,5,15,Champions
12348.0,75,4,1797.24,2,4,4,10,At Risk
12349.0,19,1,1757.55,4,1,4,9,Others
12350.0,310,1,334.4,1,1,2,4,Lost Customers
12352.0,36,8,2506.04,3,5,5,13,Loyal Customers
12353.0,204,1,89.0,1,1,1,3,Lost Customers
12354.0,232,1,1079.4,1,1,4,6,Lost Customers
12355.0,214,1,459.4,1,1,2,4,Lost Customers
12356.0,23,3,2811.43,4,3,5,12,Potential Loyalists
12357.0,33,1,6207.67,4,1,5,10,Others
12358.0,2,2,1168.06,5,2,4,11,Potential Loyalists
12359.0,58,4,6372.58,3,4,5,12,Loyal Customers
12360.0,52,3,2662.06,3,3,5,11,Others
12361.0,287,1,189.9,1,1,1,3,Lost Customers
12362.0,3,10,5226.23,5,5,5,15,Champions
12363.0,110,2,552.0,2,2,3,7,Others
12364.0,8,4,1313.1,5,4,4,13,Champions
12365.0,291,2,641.38,1,2,3,6,Lost Customers
12367.0,4,1,168.9,5,1,1,7,New Customers
12370.0,51,4,3545.69,3,4,5,12,Loyal Customers
12371.0,45,2,1887.96,3,2,4,9,Others
12372.0,72,3,1298.04,3,3,4,10,Others
12373.0,311,1,364.6,1,1,2,4,Lost Customers
12374.0,25,1,742.9300000000001,4,1,3,8,Others
12375.0,11,2,457.5,5,2,2,9,Potential Loyalists
12377.0,315,2,1628.12,1,2,4,7,Lost Customers
12378.0,130,1,4008.62,2,1,5,8,Others
12379.0,82,2,852.24,2,2,3,7,Others
12380.0,22,4,2724.81,4,4,5,13,Champions
12381.0,5,5,1845.31,5,4,4,13,Champions
12383.0,185,5,1850.56,1,4,4,9,At Risk
12384.0,29,2,585.27,4,2,3,9,Potential Loyalists
12386.0,338,2,401.9,1,2,2,5,Lost Customers
12388.0,16,6,2780.66,4,4,5,13,Champions
12390.0,80,1,549.84,2,1,3,6,Others
12391.0,22,1,460.89,4,1,2,7,Others
12393.0,72,4,1582.6000000000001,3,4,4,11,Loyal Customers
12394.0,64,2,1272.48,3,2,4,9,Others
12395.0,19,12,3018.63,4,5,5,14,Champions
12397.0,36,2,2409.9,3,2,5,10,Others
12398.0,46,1,1635.6599999999999,3,1,4,8,Others
12399.0,119,4,1108.65,2,4,4,10,At Risk
12401.0,303,1,84.3,1,1,1,3,Lost Customers
12402.0,323,1,225.6,1,1,1,3,Lost Customers
12403.0,50,1,427.7,3,1,2,6,Others
12405.0,149,1,1710.39,2,1,4,7,Others
12406.0,22,2,3415.3,4,2,5,11,Potential Loyalists
12407.0,50,5,1708.1200000000001,3,4,4,11,Loyal Customers
12408.0,33,5,2888.55,4,4,5,13,Champions
12409.0,79,3,11072.67,2,3,5,10,At Risk
12410.0,309,2,693.3299999999999,1,2,3,6,Lost Customers
12412.0,75,3,1226.88,2,3,4,9,At Risk
12413.0,67,3,758.1,3,3,3,9,Others
12414.0,217,3,562.41,1,3,3,7,At Risk
12415.0,24,21,124914.53,4,5,5,14,Champions
12417.0,3,9,3649.1,5,5,5,15,Champions
12418.0,113,1,668.58,2,1,3,6,Others
12420.0,64,1,600.39,3,1,3,7,Others
12421.0,16,4,807.04,4,4,3,11,Loyal Customers
12422.0,96,3,803.5600000000001,2,3,3,8,At Risk
12423.0,1,8,1859.31,5,5,4,14,Champions
12424.0,163,2,1760.96,2,2,4,8,Others
12425.0,78,1,777.2,2,1,3,6,Others
12426.0,195,1,582.73,1,1,3,5,Lost Customers
12427.0,22,3,825.8,4,3,3,10,Potential Loyalists
12428.0,26,9,7956.46,4,5,5,14,Champions
12429.0,9,4,3750.4,5,4,5,14,Champions
12430.0,43,1,256.4,3,1,2,6,Others
12431.0,36,15,6487.45,3,5,5,13,Loyal Customers
12432.0,43,5,5059.32,3,4,5,12,Loyal Customers
12433.0,1,7,13375.87,5,5,5,15,Champions
12434.0,85,2,806.14,2,2,3,7,Others
12435.0,80,2,7829.89,2,2,5,9,Others
12436.0,100,1,509.01,2,1,3,6,Others
