YearMonth,Revenue,Orders,AOV,ActiveDays,OrdersPerDay,RevenuePerDay
2010-12,823746.14,1559,528.3811032713278,20,77.95,41187.307
2011-01,691364.56,1086,636.6156169429098,24,45.25,28806.85666666667
2011-02,523631.89,1100,476.0289909090909,24,45.833333333333336,21817.99541666667
2011-03,717639.36,1454,493.56214580467673,27,53.851851851851855,26579.235555555555
2011-04,537808.621,1246,431.62810674157305,21,59.333333333333336,25609.934333333335
2011-05,770536.02,1681,458.3795478881618,25,67.24,30821.4408
2011-06,761739.9,1533,496.8949119373777,26,58.96153846153846,29297.688461538462
2011-07,719221.191,1475,487.60758711864406,26,56.73076923076923,27662.3535
2011-08,759138.38,1361,557.7798530492286,26,52.34615384615385,29197.63
2011-09,1058590.172,1837,576.2603004899293,26,70.65384615384616,40715.00661538461
2011-10,1154979.3,2040,566.1663235294118,26,78.46153846153847,44422.28076923077
2011-11,1509496.33,2769,545.1413253882268,26,106.5,58057.55115384616
2011-12,638792.68,819,779.9666422466423,8,102.375,79849.085
