Description,UnitsSold,Revenue,Orders,Customers,UnitsPerOrder
 4 PURPLE FLOCK DINNER CANDLES,144,290.8,38,31,3.789473684210526
 50'S CHRISTMAS GIFT BAG LARGE,1915,2343.63,129,106,14.844961240310077
 DOLLY GIRL BEAKER,2455,2891.25,174,100,14.10919540229885
 I LOVE LONDON MINI BACKPACK,389,1628.17,86,58,4.523255813953488
 I LOVE LONDON MINI RUCKSACK,1,4.15,1,1,1.0
 NINE DRAWER OFFICE TIDY,59,909.37,33,29,1.7878787878787878
 OVAL WALL MIRROR DIAMANTE ,237,2401.0699999999997,156,41,1.5192307692307692
 RED SPOT GIFT BAG LARGE,1727,2107.42,103,82,16.766990291262136
 SET 2 TEA TOWELS I LOVE LONDON ,2789,8100.05,269,131,10.368029739776953
 SPACEBOY BABY GIFT SET,499,7758.699999999999,184,110,2.7119565217391304
 TOADSTOOL BEDSIDE LIGHT ,2,17.9,1,1,2.0
 TRELLIS COAT RACK,227,1118.6100000000001,56,42,4.053571428571429
*Boombox Ipod Classic,1,16.98,1,0,1.0
*USB Office Mirror Ball,2,16.94,2,0,1.0
10 COLOUR SPACEBOY PEN,6564,5585.45,318,179,20.641509433962263
12 COLOURED PARTY BALLOONS,2155,1412.16,163,105,13.220858895705522
12 DAISY PEGS IN WOOD BOX,349,600.8699999999999,77,46,4.532467532467533
12 EGG HOUSE PAINTED WOOD,149,2378.52,99,39,1.505050505050505
12 HANGING EGGS HAND PAINTED,42,87.36,7,7,6.0
12 IVORY ROSE PEG PLACE SETTINGS,969,1478.1,148,56,6.547297297297297
12 MESSAGE CARDS WITH ENVELOPES,1740,2959.4199999999996,251,150,6.932270916334661
12 PENCIL SMALL TUBE WOODLAND,4506,3216.1200000000003,355,191,12.692957746478873
12 PENCILS SMALL TUBE RED RETROSPOT,6640,4387.820000000001,362,231,18.34254143646409
12 PENCILS SMALL TUBE SKULL,6983,4531.9800000000005,355,195,19.67042253521127
12 PENCILS TALL TUBE POSY,3812,1173.8999999999999,170,135,22.423529411764704
12 PENCILS TALL TUBE RED RETROSPOT,2746,2382.46,268,185,10.246268656716419
12 PENCILS TALL TUBE SKULLS,2156,1884.9199999999998,256,158,8.421875
12 PENCILS TALL TUBE WOODLAND,1976,1742.27,249,157,7.93574297188755
12 PINK HEN+CHICKS IN BASKET,41,104.55,14,13,2.9285714285714284
12 PINK ROSE PEG PLACE SETTINGS,214,267.5,21,17,10.19047619047619
12 RED ROSE PEG PLACE SETTINGS,457,640.92,105,47,4.352380952380952
15 PINK FLUFFY CHICKS IN BOX,10,29.5,7,7,1.4285714285714286
15CM CHRISTMAS GLASS BALL 20 LIGHTS,1359,10910.61,261,170,5.206896551724138
16 PC CUTLERY SET PANTRY DESIGN,4,63.8,1,1,4.0
16 PIECE CUTLERY SET PANTRY DESIGN,254,3785.06,69,43,3.681159420289855
18PC WOODEN CUTLERY SET DISPOSABLE,567,751.38,43,23,13.186046511627907
2 DAISIES HAIR COMB,18,52.56,12,1,1.5
2 PICTURE BOOK EGGS EASTER BUNNY,182,256.54,36,18,5.055555555555555
2 PICTURE BOOK EGGS EASTER CHICKS,171,222.22,25,17,6.84
2 PICTURE BOOK EGGS EASTER DUCKS,124,165.89,25,15,4.96
20 DOLLY PEGS RETROSPOT,2470,3282.3,222,135,11.126126126126126
200 BENDY SKULL STRAWS,661,743.62,55,28,12.018181818181818
200 RED + WHITE BENDY STRAWS,918,1221.43,172,90,5.337209302325581
3 BIRDS CANVAS SCREEN,2,2.04,2,2,1.0
3 BLACK CATS W HEARTS BLANK CARD,24,4.5600000000000005,3,3,8.0
3 DRAWER ANTIQUE WHITE WOOD CABINET,742,6529.54,202,129,3.6732673267326734
3 GARDENIA MORRIS BOXED CANDLES,504,940.02,77,58,6.545454545454546
3 HEARTS HANGING DECORATION RUSTIC,3463,11944.880000000001,303,196,11.429042904290428
3 HOOK HANGER MAGIC GARDEN,1705,3280.1099999999997,159,66,10.723270440251572
3 HOOK PHOTO SHELF ANTIQUE WHITE,1811,13746.11,382,172,4.7408376963350785
3 PIECE SPACEBOY COOKIE CUTTER SET,2628,5481.09,378,216,6.9523809523809526
3 PINK HEN+CHICKS IN BASKET,12,15.0,6,6,2.0
3 RAFFIA RIBBONS 50'S CHRISTMAS ,2105,1892.07,199,129,10.577889447236181
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,827,734.7900000000001,99,40,8.353535353535353
3 ROSE MORRIS BOXED CANDLES,1133,1805.0,158,109,7.170886075949367
3 STRIPEY MICE FELTCRAFT,3030,5925.389999999999,468,288,6.4743589743589745
3 TIER CAKE TIN GREEN AND CREAM,447,7011.57,201,107,2.2238805970149254
3 TIER CAKE TIN RED AND CREAM,689,9765.11,168,115,4.101190476190476
3 TIER SWEETHEART GARDEN SHELF,55,1938.2500000000002,43,42,1.2790697674418605
3 TRADITIONAL COOKIE CUTTERS  SET,162,304.20000000000005,4,4,40.5
3 TRADITIONAl BISCUIT CUTTERS  SET,1211,2610.61,232,168,5.219827586206897
